-14.5 , -3.71626 , 3.74292
-14.5 , -3.52501 , 3.73481
-14.5 , -3.33376 , 3.72712
-14.5 , -3.14251 , 3.71983
-14.5 , -2.95126 , 3.71295
-14.5 , -2.76001 , 3.70648
-14.5 , -2.56876 , 3.70044
-14.5 , -2.37751 , 3.69482
-14.5 , -2.18626 , 3.68962
-14.5 , -1.99501 , 3.68484
-14.5 , -1.80376 , 3.6805
-14.5 , -1.61251 , 3.67659
-14.5 , -1.42126 , 3.67311
-14.5 , -1.23001 , 3.67006
-14.5 , -1.03876 , 3.66745
-14.5 , -0.847507 , 3.66528
-14.5 , -0.656258 , 3.66355
-14.5 , -0.465008 , 3.66226
-14.5 , -0.273758 , 3.6614
-14.5 , -0.0825081 , 3.66099
-14.5 , 0.108742 , 3.66102
-14.5 , 0.299992 , 3.6615
-14.5 , 0.491241 , 3.66241
-14.5 , 0.682491 , 3.66376
-14.5 , 0.873741 , 3.66555
-14.5 , 1.06499 , 3.66778
-14.5 , 1.25624 , 3.67045
-14.5 , 1.44749 , 3.67356
-14.5 , 1.63874 , 3.6771
-14.5 , 1.82999 , 3.68107
-14.5 , 2.02124 , 3.68547
-14.5 , 2.21249 , 3.6903
-14.5 , 2.40374 , 3.69556
-14.5 , 2.59499 , 3.70124
-14.5 , 2.78624 , 3.70735
-14.5 , 2.97749 , 3.71387
-14.5 , 3.16874 , 3.7208
-14.5 , 3.35999 , 3.72815
-14.5 , 3.55124 , 3.7359
-14.5 , 3.74249 , 3.74406
-14 , -5.24625 , 3.73978
-14 , -5.055 , 3.72823
-14 , -4.86375 , 3.71706
-14 , -4.6725 , 3.70627
-14 , -4.48125 , 3.69588
-14 , -4.29 , 3.68588
-14 , -4.09875 , 3.67628
-14 , -3.90751 , 3.66709
-14 , -3.71626 , 3.6583
-14 , -3.52501 , 3.64993
-14 , -3.33376 , 3.64197
-14 , -3.14251 , 3.63443
-14 , -2.95126 , 3.62732
-14 , -2.76001 , 3.62063
-14 , -2.56876 , 3.61438
-14 , -2.37751 , 3.60856
-14 , -2.18626 , 3.60318
-14 , -1.99501 , 3.59824
-14 , -1.80376 , 3.59374
-14 , -1.61251 , 3.58969
-14 , -1.42126 , 3.58609
-14 , -1.23001 , 3.58294
-14 , -1.03876 , 3.58024
-14 , -0.847507 , 3.57799
-14 , -0.656258 , 3.57619
-14 , -0.465008 , 3.57486
-14 , -0.273758 , 3.57397
-14 , -0.0825081 , 3.57355
-14 , 0.108742 , 3.57358
-14 , 0.299992 , 3.57407
-14 , 0.491241 , 3.57501
-14 , 0.682491 , 3.57641
-14 , 0.873741 , 3.57827
-14 , 1.06499 , 3.58058
-14 , 1.25624 , 3.58334
-14 , 1.44749 , 3.58656
-14 , 1.63874 , 3.59022
-14 , 1.82999 , 3.59433
-14 , 2.02124 , 3.59889
-14 , 2.21249 , 3.60389
